,job_position,job_link,job_id,company_name,company_profile,job_location,job_posting_date,company_logo_url
0,Software Engineering Intern,https://www.linkedin.com/jobs/view/software-engineering-intern-at-the-boring-company-3959569976?position=1&pageNum=0&refId=zNBcRl%2B4QWRq1SY9YqpuHw%3D%3D&trackingId=sFcKG5qiprTacFmOJFBoaQ%3D%3D,3959569976,The Boring Company,https://www.linkedin.com/company/tbc-theboringcompany?trk=public_jobs_jserp-result_job-search-card-subtitle,"Las Vegas, NV",2024-06-26,https://media.licdn.com/dms/image/v2/C560BAQElIbxWQaaQPQ/company-logo_100_100/company-logo_100_100/0/1630593512680/tbc_theboringcompany_logo?e=2147483647&v=beta&t=H_fJ4eyGvjVyHIVVOpJVjmmke0Dc_2tylxSXEs-Q40M
1,Sr. Java Developer,https://www.linkedin.com/jobs/view/sr-java-developer-at-cgs-federal-contact-government-services-4059091583?position=2&pageNum=0&refId=zNBcRl%2B4QWRq1SY9YqpuHw%3D%3D&trackingId=hMP8A7VZcQPnVxAbLX%2Bwvg%3D%3D,4059091583,CGS Federal (Contact Government Services),https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Las Vegas, NV",2024-10-25,https://media.licdn.com/dms/image/v2/C560BAQFtAeV4P_tW_w/company-logo_100_100/company-logo_100_100/0/1631360334310?e=2147483647&v=beta&t=wWLiW8c_pF8A-k2TQ262dyJpIpAG0Rpkf8KDMIcnhwk
2,JAVA Developer Training And Placement,https://www.linkedin.com/jobs/view/java-developer-training-and-placement-at-kanshe-infotech-4030705381?position=3&pageNum=0&refId=zNBcRl%2B4QWRq1SY9YqpuHw%3D%3D&trackingId=8nt99YvVFMGd8Xt9q%2FM%2BsQ%3D%3D,4030705381,Kanshe Infotech,https://www.linkedin.com/company/kanshe-infotech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Las Vegas, NV",2024-09-20,https://media.licdn.com/dms/image/v2/C4E0BAQHQHCiPYpOKEA/company-logo_100_100/company-logo_100_100/0/1631340502271?e=2147483647&v=beta&t=VSqG7Lz7gARJCsL8KPkEkCtrYsdz8zN8PJNGG84AtLI
3,Java Developer,https://www.linkedin.com/jobs/view/java-developer-at-cgs-federal-contact-government-services-4001838729?position=4&pageNum=0&refId=zNBcRl%2B4QWRq1SY9YqpuHw%3D%3D&trackingId=OReTRljAa78HhY7ApCvE%2Fw%3D%3D,4001838729,CGS Federal (Contact Government Services),https://www.linkedin.com/company/contact-government-services-cgs?trk=public_jobs_jserp-result_job-search-card-subtitle,"Las Vegas, NV",2024-08-15,https://media.licdn.com/dms/image/v2/C560BAQFtAeV4P_tW_w/company-logo_100_100/company-logo_100_100/0/1631360334310?e=2147483647&v=beta&t=wWLiW8c_pF8A-k2TQ262dyJpIpAG0Rpkf8KDMIcnhwk
4,Java/Full-Stack Developer - Remote,https://www.linkedin.com/jobs/view/java-full-stack-developer-remote-at-remoteworker-us-4049508068?position=5&pageNum=0&refId=zNBcRl%2B4QWRq1SY9YqpuHw%3D%3D&trackingId=3HbmNTLSja9hj1x7MDRzNQ%3D%3D,4049508068,RemoteWorker US,https://www.linkedin.com/company/remoteworkerus?trk=public_jobs_jserp-result_job-search-card-subtitle,"Las Vegas, NV",2024-10-16,https://media.licdn.com/dms/image/v2/C4E0BAQEsS6XM5hlNoA/company-logo_100_100/company-logo_100_100/0/1655807813334?e=2147483647&v=beta&t=gK5QBPEymJbO9Tz1cEda55F8pvSmNrqyHtF0OxLZYgE
5,Software Engineer I,https://www.linkedin.com/jobs/view/software-engineer-i-at-jtec-industries-inc-materials-movement-experts-4024068902?position=6&pageNum=0&refId=zNBcRl%2B4QWRq1SY9YqpuHw%3D%3D&trackingId=UnXHFrvQzNDqqjnS6aoktQ%3D%3D,4024068902,"Jtec Industries, Inc. - Materials Movement Experts",https://www.linkedin.com/company/jtecindustriesinc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Las Vegas, NV",2024-08-18,https://media.licdn.com/dms/image/v2/C4E0BAQEEgW8KmA1RDA/company-logo_100_100/company-logo_100_100/0/1630645494161/jtecindustriesinc_logo?e=2147483647&v=beta&t=iOCy7o60pUyYgDhHN1fZPjiV-2HHfvCigyw-8WC8Ph8
6,Software Engineer,https://www.linkedin.com/jobs/view/software-engineer-at-the-boring-company-3959571889?position=7&pageNum=0&refId=zNBcRl%2B4QWRq1SY9YqpuHw%3D%3D&trackingId=GjKQoGUYjj8Ydb3BB0KWZA%3D%3D,3959571889,The Boring Company,https://www.linkedin.com/company/tbc-theboringcompany?trk=public_jobs_jserp-result_job-search-card-subtitle,"Las Vegas, NV",2024-06-26,https://media.licdn.com/dms/image/v2/C560BAQElIbxWQaaQPQ/company-logo_100_100/company-logo_100_100/0/1630593512680/tbc_theboringcompany_logo?e=2147483647&v=beta&t=H_fJ4eyGvjVyHIVVOpJVjmmke0Dc_2tylxSXEs-Q40M
7,JAVA FULL STACK ENGINEER,https://www.linkedin.com/jobs/view/java-full-stack-engineer-at-intersources-inc-4038721504?position=8&pageNum=0&refId=zNBcRl%2B4QWRq1SY9YqpuHw%3D%3D&trackingId=5mNEZFT9NPubWtejLqYalA%3D%3D,4038721504,InterSources Inc,https://www.linkedin.com/company/intersources-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Las Vegas, NV",2024-09-05,https://media.licdn.com/dms/image/v2/D4E0BAQEYgvbA_HxZfg/company-logo_100_100/company-logo_100_100/0/1707240556531/intersources_inc_logo?e=2147483647&v=beta&t=U8Cd8Htlb6cJ8NhjKb9NL2dUcxHpNiWpDQf9XdJUUk8
8,Fullstack Developer,https://www.linkedin.com/jobs/view/fullstack-developer-at-bright-mind-solutions-llc-4058709480?position=9&pageNum=0&refId=zNBcRl%2B4QWRq1SY9YqpuHw%3D%3D&trackingId=5F%2B7oPy6W6uSO2YpeiEtNA%3D%3D,4058709480,Bright Mind Solutions LLC,https://www.linkedin.com/company/bright-mind-solutions-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Las Vegas, NV",2024-10-24,https://media.licdn.com/dms/image/v2/D560BAQHkuZRD1x0V9Q/company-logo_100_100/company-logo_100_100/0/1705072887950/bright_mind_solutions_llc_logo?e=2147483647&v=beta&t=KsDW9CYmrYldDT-gm86F94mmbykQcha0Cggy5P1nQmA
9,Java Tech Lead,https://www.linkedin.com/jobs/view/java-tech-lead-at-smartwork-it-services-llc-swits-4004453098?position=10&pageNum=0&refId=zNBcRl%2B4QWRq1SY9YqpuHw%3D%3D&trackingId=mEbaIkBMIvT2G8YR4Ct%2BwQ%3D%3D,4004453098,SMARTWORK IT SERVICES LLC (SWITS),https://www.linkedin.com/company/smartwork-it-services-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Las Vegas, NV",2024-08-19,https://media.licdn.com/dms/image/v2/D560BAQHm2c5w64zIpQ/company-logo_100_100/company-logo_100_100/0/1715440472955?e=2147483647&v=beta&t=pr06fa2iOpNayCJKdIm8BPVCIVMIp4eBxdO1oHiNb_4
